Wave,state_code,Go to work,Go to the gym,Go visit a friend,"Go to a cafe, bar, or restaurant",Go to a doctor or visit a hospital,Go to church or another place of worship,"Take mass transit (e.g. subway, bus, or train)",Avoiding contact with other people,Avoiding public or crowded places,Frequently washing hands,Wearing a face mask when outside of your home,Been in a room with someone outside of household in the past 24 hours,Been in a room with 5-10 people outside of household in the past 24 hours,Been in a room with 11-50 people outside of household in the past 24 hours,Been in a room with over 50 people outside of household in the past 24 hours
13,OH,37 (5),5 (2),22 (4),17 (4),15 (4),6 (2),4 (2),44 (5),53 (5),70 (5),72 (5),44 (5),12 (3),6 (2),1 (1)
13,OK,37 (5),7 (3),19 (4),16 (4),14 (4),6 (3),1 (0),40 (5),53 (6),72 (5),67 (5),48 (6),9 (3),5 (2),4 (2)
13,OR,36 (5),7 (3),15 (4),14 (4),14 (4),6 (2),4 (2),45 (5),57 (5),68 (5),78 (4),45 (5),9 (3),5 (2),1 (1)
13,PA,34 (5),5 (2),18 (4),14 (3),13 (3),6 (2),4 (2),42 (5),57 (5),70 (4),76 (4),42 (5),10 (3),4 (2),2 (1)
13,RI,33 (8),11 (6),15 (7),12 (5),11 (5),4 (3),3 (3),57 (5),71 (5),70 (5),85 (4),45 (5),11 (3),2 (1),1 (0)
13,SC,42 (5),7 (3),17 (4),17 (4),15 (4),9 (3),1 (1),49 (5),56 (5),72 (5),74 (5),43 (5),12 (3),5 (2),2 (1)
13,SD,46 (11),3 (3),21 (9),18 (8),7 (6),13 (7),0 (1),41 (6),52 (6),69 (6),61 (6),51 (6),13 (4),7 (3),3 (1)
13,TN,37 (5),7 (3),16 (4),18 (4),14 (4),9 (3),1 (1),46 (6),52 (6),70 (5),69 (5),47 (6),9 (3),5 (2),3 (3)
13,TX,40 (5),8 (3),16 (4),20 (4),13 (3),8 (3),5 (3),48 (5),53 (5),71 (5),78 (4),42 (5),10 (3),4 (2),2 (2)
13,UT,47 (6),10 (3),21 (4),17 (4),13 (4),5 (2),4 (2),45 (6),51 (6),68 (5),74 (5),49 (6),16 (4),3 (2),1 (1)
13,VA,39 (6),12 (4),17 (4),19 (4),11 (4),6 (3),2 (2),54 (6),62 (5),72 (5),81 (4),37 (5),9 (3),5 (2),2 (1)
13,VT,29 (11),4 (3),10 (8),6 (7),10 (7),0 (0),5 (5),52 (7),70 (6),69 (6),83 (6),46 (7),10 (4),2 (1),1 (1)
13,WA,33 (5),8 (3),17 (4),14 (4),12 (3),4 (2),6 (3),47 (6),58 (5),70 (5),78 (5),43 (5),9 (3),4 (2),3 (2)
13,WI,35 (4),6 (2),17 (3),15 (3),12 (3),4 (2),2 (1),46 (4),55 (4),67 (4),73 (4),44 (4),10 (3),5 (2),1 (1)
13,WV,37 (6),3 (2),14 (4),6 (2),16 (5),5 (3),1 (1),54 (7),61 (7),75 (6),76 (5),45 (7),11 (4),2 (2),2 (1)
13,WY,39 (14),8 (11),15 (9),10 (6),8 (6),2 (3),3 (4),43 (8),46 (8),66 (8),61 (8),53 (8),12 (4),3 (3),6 (5)
14,National,32 (1),6 (0),15 (1),12 (1),10 (0),5 (0),3 (0),53 (1),60 (1),72 (1),81 (1),39 (1),9 (0),3 (0),2 (0)
14,AK,37 (7),7 (3),20 (6),6 (3),8 (3),4 (2),1 (2),43 (7),46 (7),63 (7),67 (7),46 (7),9 (5),5 (3),0 (0)
14,AL,30 (5),5 (3),15 (4),16 (4),11 (4),7 (3),1 (1),51 (6),55 (5),76 (5),82 (4),39 (5),9 (3),3 (2),2 (1)
14,AR,38 (6),6 (3),23 (5),13 (4),11 (3),8 (3),0 (1),47 (6),53 (6),68 (6),75 (5),39 (6),8 (3),3 (2),2 (1)
14,AZ,33 (6),5 (2),18 (5),14 (4),13 (4),5 (2),5 (2),49 (6),56 (6),71 (6),76 (6),34 (6),10 (4),3 (2),1 (1)
14,CA,33 (5),2 (1),14 (4),9 (3),10 (3),4 (2),5 (3),60 (5),69 (5),75 (5),86 (4),28 (5),6 (2),3 (2),1 (1)
14,CO,28 (5),8 (3),15 (4),13 (4),10 (3),6 (3),2 (2),50 (6),57 (5),72 (5),82 (4),43 (6),12 (4),4 (2),1 (1)
14,CT,31 (5),5 (2),13 (4),9 (3),9 (3),4 (2),2 (2),58 (5),64 (5),75 (5),86 (4),39 (5),7 (3),4 (2),2 (2)
14,DC,27 (5),6 (2),8 (2),9 (3),11 (3),4 (2),8 (3),66 (5),74 (4),80 (4),93 (2),34 (5),6 (2),2 (2),2 (1)
14,DE,34 (5),4 (2),9 (3),6 (2),10 (3),4 (2),4 (2),53 (5),62 (5),72 (5),88 (4),36 (5),9 (3),2 (1),1 (0)
14,FL,29 (5),7 (3),15 (4),16 (4),8 (3),5 (2),1 (1),50 (5),59 (5),70 (5),81 (4),37 (5),10 (3),5 (2),2 (1)
14,GA,32 (5),6 (2),16 (4),16 (4),8 (3),10 (4),5 (2),50 (6),56 (6),74 (5),73 (5),37 (5),10 (3),3 (2),2 (1)
14,HI,42 (6),7 (4),14 (4),14 (4),14 (5),4 (2),6 (3),51 (6),58 (6),75 (5),87 (4),41 (6),9 (3),4 (3),2 (1)
14,IA,36 (6),6 (3),15 (4),10 (3),9 (3),4 (2),1 (1),44 (6),53 (6),70 (5),79 (5),43 (6),8 (3),3 (2),2 (2)
14,ID,36 (5),4 (2),16 (4),14 (3),9 (3),5 (2),1 (1),37 (5),49 (5),61 (5),68 (5),47 (5),12 (3),6 (2),3 (2)
14,IL,30 (5),7 (3),15 (4),11 (3),8 (3),2 (1),4 (2),55 (5),64 (5),73 (5),83 (4),41 (5),9 (3),2 (1),1 (1)
14,IN,35 (5),5 (2),17 (4),20 (5),13 (4),5 (3),1 (1),45 (5),55 (6),71 (5),75 (5),43 (5),8 (3),5 (2),3 (2)
14,KS,33 (5),6 (3),13 (4),15 (4),8 (3),8 (3),0 (0),45 (5),54 (5),68 (5),73 (5),40 (5),10 (3),3 (2),2 (2)
14,KY,33 (5),3 (2),16 (4),10 (3),10 (3),6 (2),2 (1),53 (5),60 (5),72 (5),81 (4),36 (5),11 (4),4 (2),0 (0)
14,LA,30 (5),7 (3),19 (5),10 (3),12 (4),7 (3),2 (2),49 (6),55 (6),72 (5),72 (5),44 (6),11 (3),5 (3),2 (1)
14,MA,29 (5),7 (3),16 (4),12 (4),10 (4),3 (2),4 (2),56 (5),65 (5),73 (5),85 (4),38 (5),7 (3),2 (1),1 (1)
14,MD,33 (5),8 (3),12 (3),11 (3),9 (3),6 (3),4 (2),59 (5),68 (5),76 (4),88 (3),34 (5),5 (2),3 (2),0 (0)
14,ME,33 (5),5 (2),14 (3),7 (3),10 (3),3 (2),2 (1),52 (5),60 (5),67 (5),80 (4),45 (5),9 (3),5 (2),2 (2)
14,MI,30 (5),5 (3),12 (3),9 (3),10 (3),4 (2),2 (2),52 (5),55 (5),64 (5),75 (5),36 (5),9 (3),1 (1),2 (2)
14,MN,27 (4),4 (2),18 (4),8 (3),8 (3),4 (2),2 (1),46 (5),59 (5),67 (5),78 (4),42 (5),8 (3),4 (2),3 (2)
14,MO,33 (5),3 (1),20 (4),17 (4),11 (3),5 (2),2 (2),47 (5),56 (5),73 (5),73 (5),42 (5),10 (3),5 (2),1 (1)
14,MS,30 (6),3 (2),14 (4),16 (5),11 (4),8 (3),1 (1),43 (6),53 (6),76 (5),76 (5),43 (6),11 (4),6 (3),1 (1)
14,MT,41 (5),5 (2),18 (4),18 (4),10 (3),7 (3),1 (1),37 (5),48 (5),63 (5),72 (5),47 (5),14 (4),5 (2),2 (2)
14,NC,32 (5),5 (2),15 (3),15 (3),10 (3),6 (2),2 (2),53 (5),58 (5),73 (4),77 (4),35 (5),7 (2),3 (1),1 (1)
14,ND,41 (5),7 (3),16 (4),20 (5),12 (4),5 (3),1 (1),33 (5),45 (5),61 (5),69 (5),53 (5),15 (4),8 (3),3 (2)
14,NE,37 (5),6 (2),17 (4),17 (4),9 (3),6 (3),2 (2),42 (5),50 (5),68 (5),75 (5),48 (5),10 (3),5 (2),1 (1)
14,NH,31 (5),7 (2),11 (3),10 (3),9 (3),3 (2),1 (1),54 (5),65 (5),71 (5),84 (4),37 (5),7 (2),3 (2),1 (1)
14,NJ,31 (5),6 (3),13 (4),9 (3),9 (3),6 (3),5 (3),58 (6),67 (5),70 (5),83 (5),35 (5),7 (2),1 (1),1 (1)
14,NM,33 (6),6 (3),17 (5),6 (3),9 (4),4 (2),2 (1),59 (6),62 (6),77 (5),83 (5),37 (6),6 (2),1 (1),2 (2)
14,NV,30 (5),8 (3),14 (4),13 (4),9 (3),3 (2),5 (3),54 (6),62 (5),75 (5),84 (4),37 (5),7 (3),4 (2),3 (2)
14,NY,29 (5),6 (3),13 (4),11 (4),12 (4),4 (2),10 (4),58 (6),66 (5),76 (5),88 (3),39 (5),10 (3),3 (2),1 (1)
14,OH,34 (5),5 (2),18 (4),14 (3),9 (3),6 (2),3 (2),51 (5),58 (5),70 (5),77 (5),41 (5),10 (3),4 (2),2 (1)
14,OK,31 (5),4 (2),17 (4),17 (4),8 (3),5 (2),1 (1),46 (5),52 (6),69 (5),70 (5),39 (5),8 (3),3 (2),1 (1)
14,OR,30 (5),2 (2),16 (4),9 (3),8 (3),4 (2),5 (2),52 (5),61 (5),67 (5),81 (4),41 (5),9 (3),3 (2),1 (1)
14,PA,30 (5),5 (2),11 (3),8 (3),8 (3),2 (1),4 (2),55 (5),62 (5),71 (5),79 (4),40 (5),9 (3),3 (1),2 (1)
14,RI,32 (5),6 (2),12 (3),11 (3),10 (3),4 (2),3 (2),57 (5),65 (5),75 (4),89 (3),38 (5),9 (3),1 (1),2 (1)
14,SC,38 (6),6 (2),20 (5),17 (4),12 (4),8 (3),3 (2),46 (6),55 (6),69 (5),77 (5),46 (6),15 (4),4 (2),3 (2)
14,SD,40 (5),8 (3),20 (4),17 (4),14 (4),10 (3),1 (1),36 (5),44 (5),62 (5),61 (5),51 (5),14 (4),7 (3),4 (2)
14,TN,32 (5),5 (2),16 (4),13 (4),12 (4),6 (2),2 (1),52 (5),64 (5),74 (5),78 (5),35 (5),7 (2),4 (2),1 (1)
14,TX,32 (5),6 (2),19 (4),17 (4),13 (4),8 (3),3 (2),51 (5),56 (5),74 (5),80 (5),40 (5),11 (3),3 (2),2 (1)
14,UT,35 (5),10 (3),23 (4),17 (4),10 (3),6 (2),4 (2),42 (5),51 (5),68 (5),78 (4),47 (5),11 (3),3 (2),1 (1)
14,VA,28 (5),6 (2),16 (4),13 (4),8 (3),4 (2),3 (2),57 (5),61 (5),75 (5),81 (4),41 (5),12 (3),3 (2),2 (2)
14,VT,34 (5),3 (2),10 (3),8 (3),8 (3),3 (2),2 (1),51 (6),62 (6),59 (6),81 (5),42 (6),8 (3),3 (2),1 (1)
14,WA,27 (4),2 (1),16 (4),5 (2),11 (3),6 (2),4 (2),53 (5),55 (5),68 (5),79 (4),41 (5),9 (3),4 (2),1 (1)
14,WI,29 (5),4 (2),16 (4),14 (4),9 (3),6 (2),1 (1),50 (5),55 (5),67 (5),73 (5),46 (5),12 (4),5 (2),2 (1)
14,WV,31 (5),4 (2),16 (4),10 (3),10 (3),4 (2),1 (1),53 (6),59 (6),74 (5),84 (4),35 (5),7 (3),3 (2),1 (1)
14,WY,41 (7),6 (3),17 (5),16 (5),13 (4),8 (4),2 (1),36 (7),42 (7),60 (7),64 (7),55 (7),18 (6),7 (3),2 (2)
16,National,35 (1),7 (0),15 (1),15 (1),11 (1),6 (0),3 (0),50 (1),57 (1),71 (1),80 (1),42 (1),9 (1),4 (0),2 (0)
16,AK,43 (7),7 (3),24 (7),14 (5),14 (5),5 (3),3 (2),39 (7),49 (7),64 (7),70 (7),56 (7),13 (5),6 (3),3 (3)
16,AL,36 (7),4 (3),19 (6),15 (5),13 (5),11 (5),2 (2),49 (7),54 (7),75 (6),83 (5),44 (7),9 (4),4 (3),2 (2)
16,AR,35 (6),6 (3),17 (5),16 (4),10 (3),6 (3),2 (2),44 (6),47 (6),67 (6),75 (5),41 (6),9 (3),6 (3),2 (1)
16,AZ,27 (6),5 (3),15 (5),20 (5),11 (4),7 (4),4 (3),43 (6),57 (6),73 (6),76 (6),41 (7),11 (5),4 (3),2 (2)
16,CA,37 (6),3 (1),13 (4),16 (5),10 (4),3 (2),3 (2),57 (6),64 (6),75 (5),84 (4),35 (5),8 (3),2 (1),1 (1)
16,CO,38 (6),9 (4),19 (5),17 (5),10 (4),7 (4),4 (3),50 (6),54 (6),70 (6),75 (6),49 (6),11 (5),5 (2),5 (4)
16,CT,37 (7),7 (3),11 (4),15 (5),17 (6),7 (5),5 (4),47 (7),58 (7),74 (6),83 (6),42 (7),7 (3),3 (2),2 (1)
16,DC,30 (5),9 (3),14 (4),9 (3),8 (3),2 (2),11 (4),61 (6),65 (6),74 (5),91 (3),42 (6),7 (3),2 (2),2 (2)
16,DE,29 (6),7 (3),9 (4),14 (4),9 (3),2 (2),3 (2),56 (7),60 (7),73 (6),83 (6),42 (7),8 (3),5 (4),1 (1)
16,FL,38 (5),8 (3),17 (4),18 (4),13 (3),7 (3),3 (2),51 (5),60 (5),73 (4),82 (4),42 (5),9 (3),5 (2),2 (1)
16,GA,38 (6),10 (4),21 (5),20 (5),16 (4),11 (4),3 (3),50 (6),52 (6),70 (6),73 (5),43 (6),12 (4),4 (2),2 (1)
16,HI,38 (8),4 (2),8 (3),10 (3),9 (4),5 (3),8 (5),59 (8),65 (7),76 (6),88 (5),38 (8),12 (6),2 (2),1 (2)
16,IA,32 (6),8 (3),18 (5),17 (5),12 (4),7 (4),3 (2),41 (6),51 (6),67 (6),77 (5),45 (6),9 (3),5 (2),2 (3)
16,ID,40 (5),11 (3),20 (5),18 (4),10 (3),9 (3),0 (1),39 (5),44 (5),62 (5),64 (5),46 (5),12 (4),7 (3),4 (2)
16,IL,36 (6),8 (3),16 (5),14 (4),10 (4),6 (3),5 (3),48 (6),58 (6),73 (5),80 (5),42 (6),6 (2),7 (3),2 (2)
16,IN,37 (6),7 (3),16 (5),19 (5),13 (4),8 (3),2 (2),51 (6),59 (6),73 (5),80 (5),40 (6),10 (4),5 (2),2 (1)
16,KS,40 (6),10 (4),16 (5),17 (5),14 (5),8 (4),3 (3),39 (6),52 (6),67 (6),77 (5),43 (6),9 (3),5 (3),4 (3)
16,KY,33 (6),8 (4),15 (4),16 (5),14 (4),6 (3),1 (1),51 (6),57 (6),70 (6),76 (5),44 (6),11 (4),4 (3),1 (1)
16,LA,36 (7),5 (2),15 (5),15 (5),14 (5),9 (4),2 (2),51 (7),54 (7),73 (6),78 (6),39 (7),12 (5),5 (3),2 (1)
16,MA,29 (5),7 (3),14 (4),16 (4),13 (4),2 (1),5 (3),56 (6),62 (6),72 (5),87 (4),35 (5),8 (3),2 (2),0 (1)
16,MD,33 (6),8 (4),11 (4),11 (4),11 (4),3 (2),3 (2),63 (6),72 (5),82 (4),90 (3),36 (6),7 (3),2 (1),0 (1)
16,ME,29 (5),4 (2),14 (3),11 (3),12 (4),4 (2),2 (1),50 (5),59 (5),65 (5),84 (4),46 (5),11 (3),4 (2),2 (1)
16,MI,39 (5),4 (2),15 (4),16 (4),9 (3),3 (2),2 (2),44 (5),46 (6),69 (5),74 (5),42 (5),9 (3),6 (3),2 (1)
16,MN,33 (6),8 (3),15 (4),19 (5),8 (4),6 (3),2 (1),41 (6),53 (6),58 (6),71 (6),42 (6),10 (4),5 (3),3 (2)
16,MO,36 (6),8 (4),17 (5),14 (4),12 (4),5 (2),0 (0),47 (6),53 (6),70 (5),76 (5),42 (6),8 (3),6 (3),4 (3)
16,MS,37 (7),5 (3),18 (6),16 (5),13 (5),9 (4),1 (1),45 (7),53 (7),74 (6),77 (5),38 (7),10 (4),5 (3),2 (2)
16,MT,37 (6),9 (3),24 (5),21 (5),9 (3),5 (2),1 (1),35 (6),47 (6),57 (6),71 (5),51 (6),12 (4),6 (2),2 (2)
16,NC,35 (5),8 (3),16 (4),16 (4),11 (3),9 (3),2 (1),50 (6),58 (5),72 (5),83 (5),41 (5),11 (4),4 (2),1 (1)
16,ND,41 (7),9 (5),23 (6),24 (6),12 (4),5 (3),1 (1),28 (6),38 (7),62 (7),60 (7),60 (7),13 (5),7 (3),4 (3)
16,NE,39 (6),9 (4),17 (5),15 (4),8 (3),7 (3),1 (1),39 (5),50 (6),66 (6),73 (5),49 (6),10 (3),7 (3),3 (2)
16,NH,33 (6),6 (3),12 (4),10 (4),11 (4),2 (2),1 (1),44 (6),56 (6),68 (6),80 (5),36 (6),7 (3),4 (2),1 (1)
16,NJ,38 (5),10 (3),15 (4),15 (4),14 (4),7 (3),7 (3),52 (6),60 (6),71 (5),83 (5),37 (5),9 (3),3 (2),1 (1)
16,NM,38 (10),6 (3),11 (6),16 (7),15 (7),5 (3),1 (1),48 (9),54 (9),71 (8),75 (8),42 (9),9 (4),3 (3),2 (3)
16,NV,36 (8),7 (3),15 (6),18 (6),9 (5),3 (2),2 (2),53 (8),52 (8),76 (7),85 (6),40 (8),9 (5),3 (2),4 (4)
16,NY,37 (5),9 (3),12 (3),12 (3),14 (3),8 (3),9 (2),51 (5),64 (5),74 (4),83 (4),38 (5),11 (3),2 (1),0 (1)
16,OH,36 (5),7 (3),17 (4),20 (4),11 (3),6 (2),3 (2),47 (5),54 (5),70 (5),80 (4),43 (5),10 (3),6 (2),2 (1)
16,OK,28 (6),3 (1),17 (5),17 (5),14 (5),6 (3),2 (2),44 (7),51 (7),70 (7),67 (7),42 (7),8 (4),6 (4),2 (2)
16,OR,30 (6),5 (3),19 (6),14 (5),10 (4),6 (3),4 (3),48 (6),54 (6),62 (6),75 (5),44 (6),10 (4),3 (2),2 (2)
16,PA,32 (5),5 (3),13 (4),15 (4),10 (3),3 (1),5 (3),50 (6),54 (6),70 (5),80 (4),43 (6),11 (3),6 (3),1 (1)
16,RI,37 (8),6 (3),16 (6),9 (4),11 (6),5 (4),3 (2),46 (8),55 (8),69 (7),82 (6),45 (8),8 (4),3 (2),2 (1)
16,SC,39 (6),6 (4),13 (4),17 (5),11 (4),11 (4),1 (1),52 (7),57 (7),72 (6),77 (6),43 (7),12 (5),3 (2),3 (3)
16,SD,48 (7),7 (3),17 (6),22 (6),7 (4),9 (4),0 (0),38 (7),42 (7),64 (7),63 (7),56 (7),13 (5),8 (3),3 (2)
16,TN,32 (5),5 (2),17 (5),16 (4),15 (4),7 (3),1 (1),42 (6),48 (6),70 (5),74 (5),42 (6),11 (4),4 (2),1 (1)
16,TX,39 (5),8 (3),16 (4),17 (4),13 (4),8 (3),4 (3),50 (5),60 (5),77 (4),80 (4),41 (5),8 (3),3 (2),3 (1)
16,UT,41 (6),8 (3),25 (5),18 (5),12 (4),10 (3),6 (3),44 (6),51 (6),69 (6),82 (4),48 (6),12 (4),5 (3),2 (1)
16,VA,35 (6),7 (3),16 (5),13 (4),11 (4),5 (2),2 (2),48 (6),56 (6),68 (6),80 (5),43 (6),9 (4),5 (3),3 (2)
16,VT,33 (6),3 (2),12 (4),11 (4),10 (3),1 (1),1 (1),56 (6),61 (6),66 (6),85 (5),44 (6),9 (3),2 (1),1 (1)
16,WA,32 (6),7 (3),14 (5),12 (4),11 (4),5 (3),4 (2),54 (6),60 (6),66 (6),80 (5),36 (6),10 (3),3 (2),1 (1)
16,WI,39 (6),6 (3),17 (5),18 (5),11 (4),5 (2),3 (2),38 (6),46 (6),62 (6),74 (5),48 (6),11 (4),7 (4),2 (1)
16,WV,31 (5),3 (2),16 (4),12 (4),8 (3),3 (2),1 (1),53 (6),56 (6),72 (6),81 (5),37 (6),8 (3),2 (1),1 (1)
16,WY,42 (7),4 (2),20 (6),18 (6),8 (4),5 (3),1 (1),37 (7),42 (7),62 (7),59 (7),50 (7),17 (6),6 (3),2 (2)
17,National,38 (1),9 (1),19 (1),21 (1),12 (1),8 (0),4 (0),43 (1),50 (1),69 (1),75 (1),48 (1),12 (1),5 (0),3 (0)
17,AK,45 (9),11 (6),20 (7),18 (6),10 (5),4 (2),2 (2),36 (9),42 (9),60 (9),68 (9),49 (9),9 (4),9 (5),2 (2)
17,AL,40 (6),8 (4),18 (5),23 (5),15 (5),14 (5),4 (3),39 (6),46 (7),70 (6),76 (5),52 (6),11 (4),4 (2),3 (2)
17,AR,37 (6),8 (4),22 (5),22 (5),13 (4),9 (3),2 (1),36 (6),42 (6),63 (6),67 (6),50 (6),14 (4),6 (3),3 (2)
17,AZ,42 (7),14 (5),20 (6),23 (6),16 (6),9 (5),5 (3),40 (7),43 (7),66 (7),71 (6),50 (7),13 (6),6 (3),7 (4)
17,CA,39 (5),9 (3),16 (4),16 (4),12 (3),5 (2),3 (2),55 (5),60 (5),75 (4),84 (3),42 (5),13 (4),4 (2),1 (1)
17,CO,37 (6),9 (3),14 (4),19 (4),9 (3),4 (2),2 (2),42 (6),50 (6),68 (6),78 (5),53 (6),13 (4),5 (2),1 (1)
17,CT,39 (7),11 (4),20 (5),19 (5),13 (5),8 (4),5 (3),40 (6),49 (7),71 (6),82 (6),51 (7),12 (5),7 (3),1 (1)
17,DC,31 (6),15 (4),14 (4),16 (4),14 (5),4 (3),11 (4),57 (6),66 (6),79 (5),90 (3),46 (6),11 (4),3 (2),0 (1)
17,DE,36 (8),8 (4),16 (6),29 (8),9 (5),3 (1),1 (1),43 (8),53 (8),72 (7),80 (7),55 (8),11 (4),5 (4),1 (1)
17,FL,35 (5),11 (3),18 (4),20 (4),12 (3),9 (3),1 (1),43 (5),54 (5),70 (4),80 (4),40 (5),10 (3),4 (2),2 (1)
17,GA,42 (6),9 (3),17 (5),25 (6),17 (5),10 (4),4 (3),50 (6),52 (6),70 (6),74 (6),39 (6),8 (3),4 (2),3 (2)
17,HI,33 (7),5 (3),20 (6),18 (5),13 (5),7 (4),6 (3),41 (7),47 (7),69 (7),86 (5),48 (7),11 (4),6 (3),4 (3)
17,IA,44 (6),10 (4),23 (5),21 (5),11 (4),7 (3),5 (3),35 (6),41 (6),66 (6),70 (6),54 (6),14 (4),7 (3),4 (3)
17,ID,37 (6),7 (3),26 (5),22 (5),11 (3),10 (3),1 (1),31 (6),33 (6),59 (6),55 (6),55 (6),12 (4),8 (3),8 (3)
17,IL,39 (6),8 (3),18 (4),21 (5),13 (4),6 (2),6 (3),43 (6),53 (6),69 (5),79 (4),43 (5),10 (3),6 (2),2 (1)
17,IN,39 (6),9 (3),23 (5),25 (5),15 (4),11 (4),4 (3),37 (6),40 (6),63 (6),68 (6),56 (6),14 (4),6 (3),6 (3)
17,KS,43 (7),7 (3),25 (6),26 (6),12 (4),10 (4),4 (3),34 (6),40 (6),63 (6),69 (6),60 (6),13 (4),10 (5),6 (3)
17,KY,34 (6),6 (3),18 (5),21 (5),14 (4),10 (4),3 (2),38 (6),48 (6),73 (6),78 (5),46 (6),11 (4),6 (3),5 (3)
17,LA,32 (7),6 (3),26 (7),27 (6),12 (4),13 (5),1 (1),42 (7),48 (8),66 (7),68 (7),47 (7),13 (5),5 (3),5 (3)
17,MA,36 (5),8 (3),18 (4),18 (4),15 (4),5 (2),7 (3),46 (5),58 (5),68 (5),83 (4),48 (5),11 (3),3 (1),4 (2)
17,MD,34 (6),11 (4),18 (5),15 (5),15 (5),8 (4),3 (2),49 (6),58 (6),72 (6),78 (6),44 (6),10 (4),6 (3),1 (1)
17,ME,33 (5),6 (2),18 (4),13 (3),7 (3),3 (2),0 (0),43 (5),55 (5),67 (5),81 (4),49 (5),11 (3),4 (2),2 (2)
17,MI,36 (6),8 (3),17 (4),21 (5),13 (4),10 (4),4 (2),48 (6),53 (6),68 (5),72 (6),49 (6),9 (3),5 (2),1 (1)
17,MN,37 (6),8 (3),22 (5),21 (5),12 (4),9 (3),3 (2),31 (5),40 (6),57 (6),64 (6),51 (6),11 (3),6 (2),5 (3)
17,MO,44 (6),7 (3),23 (5),23 (5),9 (3),9 (3),1 (1),36 (6),42 (6),64 (6),65 (6),50 (6),13 (4),6 (3),2 (1)
17,MS,39 (7),5 (3),21 (6),23 (6),15 (5),13 (5),2 (2),40 (7),48 (7),67 (6),64 (7),45 (7),12 (4),6 (3),4 (3)
17,MT,40 (6),8 (3),24 (6),20 (5),11 (4),8 (3),2 (2),30 (6),39 (6),63 (6),60 (6),56 (6),14 (4),6 (3),3 (2)
17,NC,33 (5),7 (3),17 (4),22 (4),12 (3),8 (3),2 (2),44 (5),49 (5),68 (5),74 (5),42 (5),12 (4),4 (2),2 (1)
17,ND,50 (7),8 (4),22 (6),28 (7),11 (5),9 (4),2 (2),22 (6),35 (7),59 (7),49 (7),62 (7),21 (6),7 (3),4 (4)
17,NE,43 (6),13 (4),25 (5),23 (5),12 (4),13 (5),3 (2),32 (6),43 (6),60 (6),57 (6),62 (6),15 (4),10 (3),4 (2)
17,NH,40 (5),6 (2),16 (4),19 (4),16 (4),4 (2),3 (2),40 (5),50 (5),63 (5),76 (5),43 (5),11 (3),6 (2),2 (2)
17,NJ,32 (5),9 (3),15 (4),18 (5),11 (4),7 (3),6 (3),56 (6),61 (6),71 (5),82 (5),40 (6),9 (3),3 (2),2 (2)
17,NM,38 (7),9 (5),19 (6),23 (7),11 (5),10 (5),4 (3),40 (7),51 (7),71 (6),78 (6),47 (7),10 (4),4 (3),2 (1)
17,NV,37 (8),13 (6),16 (6),27 (8),11 (6),5 (3),5 (4),45 (8),45 (8),72 (7),76 (7),44 (8),9 (5),9 (4),2 (1)
17,NY,33 (4),10 (3),17 (3),13 (3),11 (3),6 (2),11 (3),51 (5),52 (5),72 (4),82 (4),43 (5),10 (3),5 (2),2 (1)
17,OH,37 (5),11 (3),22 (4),20 (4),11 (3),7 (3),3 (2),44 (5),48 (5),68 (5),75 (5),47 (5),10 (3),7 (2),2 (1)
17,OK,35 (7),5 (2),25 (7),25 (7),15 (5),9 (4),1 (2),41 (7),47 (8),69 (7),66 (7),49 (8),13 (5),3 (2),5 (3)
17,OR,41 (7),10 (5),25 (6),20 (5),13 (4),7 (3),5 (3),44 (7),52 (7),65 (6),72 (6),52 (7),12 (4),3 (2),4 (2)
17,PA,38 (5),10 (3),18 (4),21 (4),11 (3),8 (2),5 (2),39 (5),53 (5),67 (5),77 (4),50 (5),12 (3),7 (2),3 (2)
17,RI,29 (6),9 (4),17 (5),21 (6),14 (5),5 (3),2 (1),38 (7),53 (7),64 (7),80 (6),53 (7),16 (6),4 (2),0 (0)
17,SC,39 (7),9 (4),18 (5),25 (6),13 (5),10 (4),3 (3),39 (7),49 (7),65 (6),73 (6),49 (7),12 (4),2 (1),2 (2)
17,SD,46 (8),9 (4),28 (7),27 (7),16 (6),10 (4),1 (1),21 (6),34 (7),60 (7),46 (7),65 (7),14 (5),10 (4),6 (4)
17,TN,33 (6),8 (3),19 (5),27 (5),11 (3),8 (3),2 (2),42 (6),49 (6),74 (5),73 (5),45 (6),12 (4),4 (2),2 (1)
17,TX,42 (5),11 (3),21 (4),20 (4),13 (3),9 (3),3 (1),43 (5),50 (5),70 (4),74 (4),46 (5),11 (3),5 (2),3 (2)
17,UT,41 (6),11 (4),24 (5),21 (5),13 (4),10 (3),4 (2),34 (6),36 (6),62 (6),70 (5),52 (6),12 (4),6 (3),4 (3)
17,VA,39 (6),10 (3),22 (5),17 (4),12 (4),6 (2),2 (2),46 (6),52 (6),74 (5),81 (5),39 (6),11 (4),3 (2),2 (1)
17,VT,38 (6),6 (3),16 (5),17 (5),11 (4),4 (3),1 (1),49 (7),57 (7),64 (6),81 (5),39 (6),10 (4),3 (2),1 (1)
17,WA,37 (6),7 (3),20 (5),21 (5),15 (5),8 (3),3 (2),48 (6),50 (6),64 (6),76 (6),48 (6),9 (4),5 (3),4 (3)
